Τίτλος,Συγγραφέας,Τιμή,Αρχική τιμή,url
290 προσωπα,"Βασιλικος, Βασιλης",17.00,,https://www.protoporia.gr/basilikos-basilhs-290-proswpa-metaxeirismeno-2229604427282.html
292 ημερες μετα το Γραμμο-Βιτσι,"Τρικαλινος, Γιωργης",15.00,,https://www.protoporia.gr/trikalinos-giwrghs-292-hmeres-meta-to-grammo-bitsi-metaxeirism-2229602246434.html
3 1 Office 2000 ΙΙ,"Καρτσακλης, Δημητρης",7.30,16.00,https://www.protoporia.gr/skoylarikhs-fwths-3-1-office-2000-ii-metaxeirismeno-2229602095643.html
"3 1 ελληνικα Windows Me, Word 2000, Excel 2000 συν εισαγωγη στο Internet","Κωστακης, Δημητρης",7.30,16.00,https://www.protoporia.gr/skoylarikhs-fwths-3-1-ellhnika-windows-me-word-2000-excel-2000-syn-eisagwgh-sto-internet-metaxeirismeno-2229602094783.html
3 Στο κοκκινο,"Γιωτης, Γιωργος",7.00,10.00,https://www.protoporia.gr/giwths-giwrgos-3-sto-kokkino-metaxeirismeno-2226188332056.html
3.000 Eυρω,"Melle, Thomas",11.20,16.00,https://www.protoporia.gr/melle-thomas-3-000-eyrw-metaxeirismeno-2229605054838.html
300 ημερες στον πλανητη Γεδεων,"Παπαμιχαηλ, Γεωργιος",2.67,5.33,https://www.protoporia.gr/papamixahl-gewrgios-300-hmeres-ston-planhth-gedewn-metaxeirismeno-2229600211823.html
3001 Η τελικη Οδυσσεια,"Κλαρκ, Αρθουρ",13.50,15.00,https://www.protoporia.gr/klark-ar8oyr-3001-h-telikh-odysseia-metaxeirismeno-2229606204447.html
"31 αξεχαστα χρονια στο ξυλινο τιμονι της ""Ελευθεροτυπιας"" και της ""Κυριακατικης Ε""","Φυντανιδης, Σεραφειμ",8.00,15.50,https://www.protoporia.gr/fyntanidhs-serafeim-d-31-a3exasta-xronia-sto-3ylino-timoni-ths-eley8erotypias-kai-ths-kyriakatikhs-e-metaxeirismeno-2229601658405.html
31 Οικολογικες τριπλες κατασκευες ηπιας τεχνολογιας,"Βλασσης, Γιωργος",2.80,12.17,https://www.protoporia.gr/blasshs-giwrgos-31-oikologikes-triples-kataskeyes-hpias-texnologias-metaxeirismeno-2229607400008.html
