Τίτλος,Συγγραφέας,Τιμή,Αρχική τιμή,url
Τέσσερα φιλοσοφικά δοκίμια ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,Μάο Τσε Τουνγκ,13.50,15.00,https://www.protoporia.gr/mao-tse-toungk-tessera-filosofika-dokimia-metaxeirismeno-450274.html
Εκατό χρόνια μοναξιά ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μάρκες, Γκαμπριέλ Γκαρσία",6.90,10.00,https://www.protoporia.gr/markes-gkampriel-gkarsia-ekato-xronia-monaksia-metaxeirismeno-372171.html
Ο λαβύρινθος των πνευμάτων Τόμος 2 ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Zafon, Carlos Ruiz",6.40,18.80,https://www.protoporia.gr/zafon-carlos-ruiz-o-lavurinthos-ton-pneumaton-tomos-2-metaxeirismeno-468635.html
Μαθήματα νεκροψίας ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Φίτζεκ, Σεμπάστιαν",12.00,18.00,https://www.protoporia.gr/tsokos-michael-mathimata-nekropsias-metaxeirismeno-387718.html
Ζωή δίχως συνταγές ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Παπαδόπουλος, Χαράλαμπος π.",5.50,11.00,https://www.protoporia.gr/papadopoulos-xaralampos-p.-zoi-dixos-suntages-metaxeirismeno-486869.html
Το τέλος της ιστορίας και ο τελευταίος άνθρωπος ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Φουκουγιάμα, Φράνσις",18.00,,https://www.protoporia.gr/foukougiama-fransis-to-telos-tis-istorias-kai-o-teleutaios-anthropos-metaxeirismeno-367891.html
Η εκδίκηση των αγγέλων ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μαντά, Λένα",8.50,17.70,https://www.protoporia.gr/manta-lena-i-ekdikisi-ton-aggelon-metaxeirismeno-439167.html
Βιολέτα ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Αλιέντε, Ιζαμπέλ",8.85,17.70,https://www.protoporia.gr/aliente-izampel-violeta-metaxeirismeno-574627.html
Πώς να αγαπάς την κόρη σου ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Μπλουμ, Χιλά",11.90,17.00,https://www.protoporia.gr/mploum-xila-pos-na-agapas-tin-kori-sou-metaxeirismeno-2229600125380.html
Η βιβλιοθήκη των κρυφών ονείρων ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Αογιάμα, Μισίκο",10.08,14.40,https://www.protoporia.gr/aogiama-misiko-i-vivliothiki-ton-krufon-oneiron-metaxeirismeno-633619.html
Καστράτο (επίτομο) ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,Αρκάς,20.00,35.00,https://www.protoporia.gr/arkas-kastrato-epitomo-metaxeirismeno-350813.html
Η υπόσχεση ΜΕΤΑΧΕΙΡΙΣΜΕΝΟ,"Galgut, Damon",7.70,17.70,https://www.protoporia.gr/galgut-damon-i-uposxesi-metaxeirismeno-576023.html
